,precision,recall,f1-score,support
angry,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0
ears_flat,0.6470588235294118,0.4583333333333333,0.5365853658536586,24.0
ears_up,0.821917808219178,0.8333333333333334,0.8275862068965517,72.0
eyes_large_pupils,0.8148148148148148,0.7096774193548387,0.7586206896551724,31.0
eyes_narrowed,0.6153846153846154,0.5517241379310345,0.5818181818181818,29.0
eyes_small_pupils,0.7931034482758621,0.5476190476190477,0.647887323943662,42.0
happy,0.8627450980392157,0.9166666666666666,0.8888888888888888,48.0
mouth_fangs,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0
neutral,0.8260869565217391,0.5757575757575758,0.6785714285714286,33.0
posture_arched_back,0.8181818181818182,1.0,0.9,9.0
posture_exposed_belly,0.8888888888888888,0.6666666666666666,0.7619047619047619,12.0
posture_neutral,0.8666666666666667,0.6842105263157895,0.7647058823529411,19.0
posture_small,0.6,0.3333333333333333,0.42857142857142855,9.0
posture_stretch,0.9,0.9,0.9,10.0
scared,0.6923076923076923,0.72,0.7058823529411765,25.0
tail_neutral,0.8,0.5,0.6153846153846154,8.0
tail_tucked,0.7777777777777778,0.5384615384615384,0.6363636363636364,13.0
tail_up,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
micro avg,0.7953964194373402,0.7116704805491991,0.751207729468599,437.0
macro avg,0.7877801537633782,0.6931988469115463,0.7293785997107695,437.0
weighted avg,0.7918489131941246,0.7116704805491991,0.7432940795205868,437.0
samples avg,0.7949864498644986,0.7300813008130081,0.7478231795304965,437.0
