,precision,recall,f1-score,support
angry,0.8,0.9411764705882353,0.8648648648648649,17.0
ears_flat,0.631578947368421,0.5,0.5581395348837209,24.0
ears_up,0.821917808219178,0.8333333333333334,0.8275862068965517,72.0
eyes_large_pupils,0.7692307692307693,0.6451612903225806,0.7017543859649122,31.0
eyes_narrowed,0.6666666666666666,0.6206896551724138,0.6428571428571429,29.0
eyes_small_pupils,0.7419354838709677,0.5476190476190477,0.6301369863013698,42.0
happy,0.9347826086956522,0.8958333333333334,0.9148936170212766,48.0
mouth_fangs,0.7894736842105263,0.8823529411764706,0.8333333333333334,17.0
neutral,0.7931034482758621,0.696969696969697,0.7419354838709677,33.0
posture_arched_back,0.8181818181818182,1.0,0.9,9.0
posture_exposed_belly,0.8181818181818182,0.75,0.782608695652174,12.0
posture_neutral,0.9285714285714286,0.6842105263157895,0.7878787878787878,19.0
posture_small,0.5,0.2222222222222222,0.3076923076923077,9.0
posture_stretch,0.8888888888888888,0.8,0.8421052631578947,10.0
scared,0.6666666666666666,0.56,0.6086956521739131,25.0
tail_neutral,0.8333333333333334,0.625,0.7142857142857143,8.0
tail_tucked,0.7,0.5384615384615384,0.6086956521739131,13.0
tail_up,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
micro avg,0.7974683544303798,0.7208237986270023,0.7572115384615384,437.0
macro avg,0.7805489884119239,0.7050221375870719,0.7341573361145265,437.0
weighted avg,0.7903585437520869,0.7208237986270023,0.7496766394406126,437.0
samples avg,0.8073170731707318,0.7439024390243903,0.7581459191215288,437.0
